Program,Bug,Technique,ID,Result,Num,TimePerClass
Chart,17f,randoopGRTMinusInputConstruction,1,Fail,2,600
Time,16f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Time,17f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Chart,2f,evosuite,1,Pass,0,120
Chart,18f,randoopGRTMinusInputConstruction,1,Fail,174,600
Chart,19f,randoopGRTMinusInputConstruction,1,Fail,10,600
Time,25f,randoopGRT,1,Pass,0,300
Chart,19f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Chart,4f,randoopGRT,1,Pass,0,600
Time,18f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Chart,23f,evosuite,1,Fail,2,600
Chart,3f,evosuite,1,Pass,0,300
Time,10f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Time,19f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Time,5f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Time,19f,randoopGRTMinusInputConstruction,1,Pass,0,120
Chart,22f,randoopGRTMinusDynamicTyping,1,Fail,308,600
Chart,20f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Chart,21f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Time,20f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Chart,18f,randoopGRTMinusMinCoverageFirst,1,Fail,12,120
Chart,19f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Time,8f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Time,11f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Chart,8f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Chart,3f,evosuite,1,Pass,0,120
Time,26f,randoopGRTMinusMinCoverageFirst,1,Pass,0,300
Time,22f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Chart,25f,randoop,1,Pass,0,120
Time,9f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Time,11f,randoopGRTMinusInputConstruction,1,Pass,0,120
Time,23f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Time,13f,randoopGRT,1,Pass,0,300
Chart,10f,evosuite,1,Pass,0,300
Chart,18f,randoop,1,Fail,40,300
Chart,20f,randoopGRTMinusInputConstruction,1,Pass,0,600
Chart,22f,randoopGRTMinusMinCoverageFirst,1,Fail,738,600
Chart,19f,randoop,1,Fail,2,300
Chart,24f,evosuite,1,Fail,1,600
Chart,20f,randoop,1,Pass,0,300
Time,3f,randoopGRTMinusMinCoverageFirst,1,Pass,0,300
Time,12f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Chart,25f,evosuite,1,Fail,1,600
Chart,23f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Time,24f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Chart,4f,evosuite,1,Pass,0,120
Time,6f,randoopGRTMinusInputConstruction,1,Pass,0,300
Chart,2f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Chart,21f,randoopGRTMinusInputConstruction,1,Pass,0,600
Chart,5f,evosuite,1,Fail,1,120
Time,10f,randoopGRT,1,Pass,0,120
Chart,5f,randoopGRT,1,Fail,2,600
Time,17f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Time,25f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Time,26f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Chart,26f,evosuite,1,Pass,0,600
Time,23f,randoop,1,Pass,0,300
Chart,21f,randoop,1,Pass,0,300
Chart,20f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,12f,randoopGRTMinusInputConstruction,1,Pass,0,120
Time,20f,randoopGRTMinusInputConstruction,1,Pass,0,120
Time,11f,randoopGRT,1,Pass,0,120
Chart,22f,randoop,1,Fail,30,300
Chart,20f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Chart,24f,randoopGRTMinusMinCoverageFirst,1,Fail,722,600
Chart,6f,randoopGRT,1,Pass,0,600
Chart,23f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Time,27f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Time,10f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Chart,1f,randoop,1,Pass,0,120
Time,1f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,24f,randoop,1,Pass,0,300
Chart,10f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Time,22f,randoopGRTMinusInputConstruction,1,Pass,0,120
Time,7f,randoopGRTMinusInputConstruction,1,Pass,0,300
Chart,4f,evosuite,1,Fail,2,300
Time,2f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,25f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Chart,16f,randoopGRTMinusInputConstruction,1,Fail,14,300
Chart,17f,randoopGRTMinusInputConstruction,1,Pass,0,300
Chart,21f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Chart,23f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Time,1f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Chart,24f,randoop,1,Fail,378,300
Chart,22f,randoopGRTMinusInputConstruction,1,Fail,380,600
Time,11f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Chart,22f,randoopGRTMinusMinCoverageFirst,1,Fail,40,120
Time,1f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Chart,25f,randoop,1,Pass,0,300
Time,3f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,4f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,2f,randoop,1,Pass,0,120
Time,13f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Time,5f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,6f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,26f,randoopGRT,1,Pass,0,300
Chart,6f,evosuite,1,Pass,0,120
Time,18f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Time,7f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,12f,randoopGRT,1,Pass,0,120
Chart,1f,randoopGRTMinusInputConstruction,1,Pass,0,600
Chart,1f,randoop,1,Pass,0,600
Time,8f,randoopGRTMinusDynamicTyping,1,Fail,8,300
Chart,7f,evosuite,1,Pass,0,120
Chart,8f,evosuite,1,Pass,0,120
Time,9f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,19f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Time,10f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,11f,randoopGRTMinusMinCostFirst,1,Fail,6,600
Time,13f,randoopGRT,1,Pass,0,120
Chart,18f,randoopGRTMinusInputConstruction,1,Fail,80,300
Chart,3f,randoop,1,Pass,0,120
Chart,24f,randoopGRTMinusDynamicTyping,1,Fail,400,600
Chart,7f,randoopGRT,1,Pass,0,600
Chart,19f,randoopGRTMinusInputConstruction,1,Fail,8,300
Chart,21f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,4f,randoop,1,Pass,0,120
Chart,23f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Time,4f,randoopGRTMinusMinCoverageFirst,1,Pass,0,300
Chart,1f,randoopGRT,1,Pass,0,120
Chart,2f,randoopGRT,1,Pass,0,120
Chart,11f,evosuite,1,Fail,3,300
Time,11f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,23f,randoopGRTMinusInputConstruction,1,Pass,0,600
Time,12f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,2f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Chart,2f,randoop,1,Pass,0,600
Chart,12f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Chart,24f,randoopGRTMinusMinCoverageFirst,1,Fail,130,120
Time,13f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,14f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,22f,randoopGRTMinusDynamicTyping,1,Fail,134,300
Time,15f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,8f,randoopGRT,1,Fail,6,600
Time,19f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Time,16f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,5f,evosuite,1,Pass,0,300
Time,17f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,24f,randoopGRTMinusInputConstruction,1,Fail,450,600
Chart,5f,randoop,1,Pass,0,120
Time,15f,randoopGRT,1,Pass,0,120
Chart,6f,randoop,1,Pass,0,120
Time,16f,randoopGRT,1,Pass,0,120
Time,25f,randoop,1,Pass,0,300
Chart,9f,evosuite,1,Pass,0,120
Chart,13f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Chart,10f,randoopGRT,1,Fail,566,600
Time,18f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,20f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Time,12f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Time,5f,randoopGRTMinusMinCoverageFirst,1,Pass,0,300
Chart,23f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Time,1f,randoopGRT,1,Pass,0,600
Time,13f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Chart,24f,randoopGRTMinusDynamicTyping,1,Fail,262,300
Chart,20f,randoopGRTMinusInputConstruction,1,Pass,0,300
Time,17f,randoopGRT,1,Pass,0,120
Chart,3f,randoop,1,Broken,-,600
Chart,1f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Chart,14f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Chart,25f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Time,19f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,4f,randoop,1,Pass,0,600
Chart,10f,evosuite,1,Pass,0,120
Chart,12f,evosuite,1,Pass,0,300
Chart,6f,evosuite,1,Pass,0,300
Chart,8f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Chart,11f,randoopGRT,1,Fail,60,600
Chart,25f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,12f,randoopGRT,1,Pass,0,600
Time,20f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,5f,randoop,1,Fail,8,600
Chart,25f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Chart,6f,randoop,1,Pass,0,600
Chart,26f,evosuite,1,Pass,0,300
